Title,LikeCount,date,year,Views
The year without summer,6200,2023-05-01,2023,240294
3 ways your money can fight climate change,13000,2023-05-01,2023,547860
What the world can learn from China's innovation playbook,16000,2023-05-01,2023,658698
The urgent risks of runaway AI -- and what to do about them,20000,2023-05-01,2023,799269
Why were there three popes at the same time?,15000,2023-05-01,2023,564808
Does working hard really make you a good person?,21000,2023-05-01,2023,833900
"How ""second chance"" laws could transform the US justice system",14000,2023-05-01,2023,553579
The disappearing computer -- and a world where you can take AI everywhere,37000,2023-05-01,2023,1458699
"How to teach ""for"" students, not ""at"" them",161000,2023-05-01,2023,NA
4 ways to have healthy conversations about race,15000,2023-05-01,2023,568572
"""Woman, Life, Freedom"" in Iran -- and what it means for the rest of the world",18000,2023-05-01,2023,688611
The rise and fall of the Mughal Empire,9300,2023-05-01,2023,341699
How poetry unlocked my superpowers,16000,2023-05-01,2023,615474
3 money lessons from infamous scam artists,19000,2023-05-01,2023,699277
Why do we have crooked teeth when our ancestors didn't?,63000,2023-05-01,2023,2513692
How AI could save (not destroy) education,43000,2023-05-01,2023,1585491
Why are schools more segregated now than in the 1980s?,213000,2023-04-01,2023,NA
Why AI is incredibly smart and shockingly stupid,31000,2023-04-01,2023,1123155
"Why did the British Empire burn, sink, and hide these documents?",8000,2023-04-01,2023,278257
Pussy Riot's powerful message to Vladimir Putin,26000,2023-04-01,2023,997573
Can zoos actually save species from extinction?,5200,2023-04-01,2023,180894
The story that shapes your relationship with nature,20000,2023-04-01,2023,750957
How modern audiences can talk about aging art,17000,2023-04-01,2023,635104
TikTok's CEO on its future -- and what makes its algorithm different,33000,2023-04-01,2023,1218760
How to feng shui your fridge -- and other happy climate hacks,20000,2023-04-01,2023,744283
Why do we eat popcorn at the movies?,15000,2023-04-01,2023,531150
The inside story of ChatGPT's astonishing potential,71000,2023-04-01,2023,2509052
How to help employees with disabilities thrive,19000,2023-04-01,2023,692137
Whatever happened to the hole in the ozone layer?,11000,2023-04-01,2023,408054
"Mangroves, storm walls and other ways to protect coasts from climate change",18000,2023-04-01,2023,671331
"Why your life needs novelty, no matter your age",21000,2023-04-01,2023,769730
How to declutter when you feel like a failure,398000,2023-04-01,2023,18945
The new natural history,273000,2023-04-01,2023,NA
"What is a poop transplant, and how does it work?",8500,2023-04-01,2023,292553
The dazzling diversity of African dance -- in 14 moves,4900,2023-04-01,2023,176162
4 ways to make hybrid work better for everyone,22000,2023-04-01,2023,805127
The Hawaiian story of the king's betrayal,3500,2023-04-01,2023,124007
What to do when there's a polar bear in your backyard,21000,2023-04-01,2023,780713
Are you an ethical true crime fan? 4 questions to ask,20000,2023-04-01,2023,742807
"The rise of the ""trauma essay"" in college applications",49000,2023-04-01,2023,1754639
How does this all-female species reproduce?,10000,2023-04-01,2023,366613
What will the dream car of the future be like?,22000,2023-04-01,2023,805542
5 steps to building a personal brand you feel good about,24000,2023-04-01,2023,878312
The most important century in human history,9100,2023-04-01,2023,310603
A faster way to get to a clean energy future,23000,2023-04-01,2023,839594
The power of multilingualism in education,418000,2023-03-01,2023,14659
Why autism is often missed in women and girls,27000,2023-03-01,2023,964546
How stretching actually changes your muscles,88000,2023-03-01,2023,3150070
Does AI actually understand us?,25000,2023-03-01,2023,916389
The unexpected key to boosting your productivity,27000,2023-03-01,2023,978094
This one weird trick will get you infinite gold,13000,2023-03-01,2023,508213
"""Damballa Wedo"" / ""The Dilemma""",307000,2023-03-01,2023,11122
How do we get the world off fossil fuels quickly and fairly?,24000,2023-03-01,2023,862365
How agri-robotics will change the food you eat,1300,2023-03-01,2023,45633
Why all dogs are good dogs,31000,2023-03-01,2023,1115796
When you're an ant but also a fungus tycoon,5900,2023-03-01,2023,201652
How to keep your hometown from becoming a ghost town,25000,2023-03-01,2023,913267
"How to calm your anxiety, from a neuroscientist",39000,2023-03-01,2023,1382746
A day in the Islamic Golden Age,7700,2023-03-01,2023,285112
What happens to gas stations when the world goes electric?,24000,2023-03-01,2023,846210
How to discover your business's competitive advantage,450000,2023-03-01,2023,15708
3 skills every middle school boy needs,29000,2023-03-01,2023,1017680
What would happen if you lost your sense of touch?,9200,2023-03-01,2023,317433
The surprising psychology behind your urge to break the rules,30000,2023-03-01,2023,1082792
Your 3-step guide to setting better boundaries at work,28000,2023-03-01,2023,1010394
What happens if an engineered virus escapes the lab?,15000,2023-03-01,2023,530774
Who owns the internet of the future?,27000,2023-03-01,2023,946862
3 elements of true fun -- and how to have more of it,28000,2023-03-01,2023,990458
The history (and future) of women in STEM,1100,2023-03-01,2023,39462
Gourmet food for the final frontier,24000,2023-03-01,2023,859444
How horses changed history,12000,2023-03-01,2023,422250
How video games can level up the way you learn,30000,2023-03-01,2023,1081525
How to be a team player -- without burning out,29000,2023-03-01,2023,1021345
6 myths about the Middle Ages that everyone believes,25000,2023-03-01,2023,899556
The clean energy hub of the future,25000,2023-03-01,2023,889658
The fantastically weird world of photosynthetic sea slugs,34000,2023-03-01,2023,1210791
How one small idea led to $1 million of paid water bills,27000,2023-03-01,2023,941372
The continents are moving. When will they collide?,8600,2023-03-01,2023,293079
How to quit your job -- without ruining your career,31000,2023-03-01,2023,1102791
Reviving the legacy of the Black teaching tradition,3100,2023-02-01,2023,108192
What if you experienced every human life in history?,49000,2023-02-01,2023,1695229
The fascinating physics of insect pee,26000,2023-02-01,2023,923010
"Ancient Pompeii's hidden messages, preserved in graffiti",6400,2023-02-01,2023,223332
What girls and women in sports need to unlock their potential,31000,2023-02-01,2023,1093053
What's hidden in Arctic ice?,7400,2023-02-01,2023,254457
The surprising climate benefits of sharing your stuff,29000,2023-02-01,2023,1015687
4 proven ways to kick your procrastination habit,35000,2023-02-01,2023,1211794
One of the most banned books of all time,17000,2023-02-01,2023,587481
The massive machines removing carbon from Earth's atmosphere,31000,2023-02-01,2023,1077925
3 steps to help kids process traumatic events,34000,2023-02-01,2023,1172146
How to manage your emotions,26000,2023-02-01,2023,909096
"Climate action should focus on communities, not just carbon",258000,2023-02-01,2023,NA
How everyday interactions shape your future,41000,2023-02-01,2023,1433394
Can you freeze your body and come back to life?,18000,2023-02-01,2023,631828
What if buildings created energy instead of consuming it?,31000,2023-02-01,2023,1072032
Have you met your soulmate?,153000,2023-02-01,2023,5123564
3 steps of anxiety overload -- and how you can take back control,33000,2023-02-01,2023,1167104
The nostalgia behind your favorite Chinese food,29000,2023-02-01,2023,1036404
How do airplanes actually fly?,26000,2023-02-01,2023,902913
Is democracy doomed? The global fight for our future,33000,2023-02-01,2023,1151555
Why we need to decolonize psychology,379000,2023-02-01,2023,14253
"One of the most ""dangerous"" men in American history",6800,2023-02-01,2023,230323
A for-profit mindset for nonprofit success,31000,2023-02-01,2023,1095359
"""Bright Future Ahead""",377000,2023-02-01,2023,13192
"3 stories of Pakistani resilience, told in film",5200,2023-02-01,2023,179802
What to expect from a therapy session,1300,2023-02-01,2023,49160
Could fungi actually be the key to humanity's survival?,37000,2023-02-01,2023,1272949
When did slavery actually end in the United States?,5600,2023-02-01,2023,196892
The secret to making new friends as an adult,43000,2023-02-01,2023,1496034
How Black queer culture shaped history,32000,2023-02-01,2023,1131736
Ethical dilemma: Should we get rid of mosquitoes?,18000,2023-01-01,2023,633351
The fairy tales of the fossil fuel industry -- and a better climate story,35000,2023-01-01,2023,1212640
How to participate in your own legal defense,30000,2023-01-01,2023,1045442
5 values for repairing the harms of colonialism,33000,2023-01-01,2023,1153177
Can you steal the most powerful wand in the wizarding world?,14000,2023-01-01,2023,512281
"The ecstasy of Eskista, an ancient Ethiopian dance",30000,2023-01-01,2023,1061658
Hidden connections that transcend borders and defy stereotypes,31000,2023-01-01,2023,1081836
"7 new species of robot that jump, dance — and walk on water",8400,2023-01-01,2023,287597
How to deal with rejection,13000,2023-01-01,2023,467519
The one question every aspiring leader needs to ask,33000,2023-01-01,2023,1164165
"""Mana"" / ""Salt Water""",112000,2023-01-01,2023,NA
A socialist perspective on the pursuit of happiness,39000,2023-01-01,2023,1349753
When are you actually an adult?,12000,2023-01-01,2023,422388
Where does your sense of self come from? A scientific look,41000,2023-01-01,2023,1437424
Can we feed ourselves without devouring the planet?,38000,2023-01-01,2023,1323739
Mao Zedong's infamous mango cult,12000,2023-01-01,2023,429627
How to recognize privilege – and uplift those without it,33000,2023-01-01,2023,1158869
How bad data traps people in the US justice system,34000,2023-01-01,2023,1182333
The bizarre world of parasitic wasps,9900,2023-01-01,2023,341880
The sustainable brilliance of Indigenous design,33000,2023-01-01,2023,1130684
Why nurses are key to medical innovation,37000,2023-01-01,2023,1269674
History vs. Thomas Jefferson,9200,2023-01-01,2023,315249
The secret to a happy life -- lessons from 8 decades of research,71000,2023-01-01,2023,2457450
What the discovery of exoplanets reveals about the universe,33000,2023-01-01,2023,1130430
How to harness the ancient partnership between forests and fungi,40000,2023-01-01,2023,1396767
Why do beavers build dams?,9900,2023-01-01,2023,334923
The habit that could improve your career,50000,2023-01-01,2023,1723812
How to do laundry when you're depressed,39000,2023-01-01,2023,1359459
Why do you want to squeeze cute things?,26000,2023-01-01,2023,925646
How to design climate-resilient buildings,26000,2023-01-01,2023,916063
The value of an eclectic streaming queue,774000,2023-01-01,2023,25839
The history of a name,1300,2022-12-01,2022,44362
3 ways to end a virus,12000,2022-12-01,2022,418951
Africa's path to clean mobility -- driven by motorcycles,20000,2022-12-01,2022,713916
The internet's accessibility problem -- and how to fix it,21000,2022-12-01,2022,739928
How daylight could help you sleep,1400,2022-12-01,2022,48865
How puberty changes your brain,28000,2022-12-01,2022,973929
The board game getting kids excited about school,28000,2022-12-01,2022,996410
Are insect brains the secret to great AI?,31000,2022-12-01,2022,1082018
How millennials and Gen Z can invest in a better future,36000,2022-12-01,2022,1255085
"""Nice and Quiet"" / ""One Of These Days""",216000,2022-12-01,2022,NA
How play helps a kid's brain grow,29000,2022-12-01,2022,1004551
The best way to apologize (according to science),30000,2022-12-01,2022,1025346
A creative approach to community climate action,32000,2022-12-01,2022,1111618
5 hiring tips every company (and job seeker) should know,34000,2022-12-01,2022,1171192
The kingdom hidden in Brazil,6300,2022-12-01,2022,213591
Can the metaverse bring us closer to wildlife?,31000,2022-12-01,2022,1064698
The benefits of fostering beginner's mind,188000,2022-12-01,2022,NA
The billion-dollar pollution solution humanity needs right now,32000,2022-12-01,2022,1124894
Are video calls the best we can do in the age of the metaverse?,36000,2022-12-01,2022,1249846
The science of falling in love,58000,2022-12-01,2022,2001671
How great leaders take on uncertainty,36000,2022-12-01,2022,1235271
How Indigenous guardians protect the planet and humanity,33000,2022-12-01,2022,1128474
How will AI change the world?,39000,2022-12-01,2022,1346806
How to tap into your awareness -- and why meditation is easier than you think,49000,2022-12-01,2022,1719298
Demystifying the wild world of crypto,9700,2022-12-01,2022,333233
How can we escape soaring energy bills? Stop using fossil fuels,32000,2022-12-01,2022,1095279
"Plankton, space, Earth and us",828000,2022-12-01,2022,27727
A disability-inclusive future of work,34000,2022-12-01,2022,1188837
"""Go(l)d"" / ""Black Truck""",236000,2022-12-01,2022,NA
The Taj Mahal: A monument to eternal love,15000,2022-12-01,2022,519015
How to tackle the stigma of living with HIV,36000,2022-12-01,2022,1264257
Why you feel anxious socializing (and what to do about it),46000,2022-11-01,2022,1590642
How do we create a better economy?,11000,2022-11-01,2022,390498
Why joy is a state of mind,37000,2022-11-01,2022,1277792
The fight for freedom in Iran and Ukraine,35000,2022-11-01,2022,1213978
Whose land are you on? What to know about the Indigenous Land Back movement,35000,2022-11-01,2022,1215376
How vaccines are developed -- and why they're safe,7600,2022-11-01,2022,258190
Why plague doctors wore beaked masks,26000,2022-11-01,2022,906632
3 steps to build peace and create meaningful change,37000,2022-11-01,2022,1271369
4 things all great listeners know,31000,2022-11-01,2022,1071233
AI-generated creatures that stretch the boundaries of imagination,8000,2022-11-01,2022,275793
"""Kilamu"" / ""Ama Aje"" / ""Jam Now, Simmer Down"" / ""Dracula""",715000,2022-11-01,2022,23874
What a living whale is worth -- and why the economy should protect nature,43000,2022-11-01,2022,1486427
Why people love watching sports,38000,2022-11-01,2022,1317800
The sibling rivalry that divided a town,7800,2022-11-01,2022,262483
The danger and devotion of fighting for women in Afghanistan,35000,2022-11-01,2022,1213046
How to find your voice for climate action,35000,2022-11-01,2022,1215235
5 things you should know about back pain,8600,2022-11-01,2022,294478
How do oysters make pearls?,22000,2022-11-01,2022,777517
"Great leadership is a network, not a hierarchy",43000,2022-11-01,2022,1484582
A new way to finance renewable energy,254000,2022-11-01,2022,NA
The wheat field that could change the world,9000,2022-11-01,2022,309406
What I learned from dating while disabled,1500,2022-11-01,2022,52475
A colorful case for outside-the-box thinking on identity,41000,2022-11-01,2022,1397094
Will there be another pandemic in your lifetime?,11000,2022-11-01,2022,387158
The global opportunity to accelerate Africa's sustainable future,36000,2022-11-01,2022,1255727
How global virtual communities can help kids achieve their dreams,35000,2022-11-01,2022,1208534
The truth about yeast in your body,7600,2022-11-01,2022,259993
How do we determine the value of a life?,14000,2022-11-01,2022,504428
The future of machines that move like animals,37000,2022-11-01,2022,1270204
5 lessons on building an emissions-free city,36000,2022-11-01,2022,1249566
"Is there a role for carbon credits in the transition to a fair, net-zero future?",41000,2022-11-01,2022,1401470
TED Countdown Dilemma Series: Carbon credits [Session 2],52000,2022-11-01,2022,NA
TED Countdown Dilemma Series: Carbon credits [Session 1],101000,2022-11-01,2022,NA
Could one vaccine protect against everything?,7700,2022-11-01,2022,260010
A moral blueprint for reimagining capitalism,39000,2022-11-01,2022,1333119
Do you really need 8 hours of sleep every night?,96000,2022-11-01,2022,3272391
Is capitalism actually broken?,27000,2022-11-01,2022,926828
The marvels and mysteries revealed by the James Webb Space Telescope,40000,2022-11-01,2022,1370044
A carbon-free future starts with driving less,7000,2022-11-01,2022,239121
"Meet the mysterious ""monsters"" of the deep sea",38000,2022-10-01,2022,1325864
How to transform your climate concern into action,42000,2022-10-01,2022,1456138
A virus-resistant organism -- and what it could mean for the future,41000,2022-10-01,2022,1417348
